well,frame,cellID,x,y,r,area,totalIntensity.1,sdIntensity.1,totalIntensity.2,sdIntensity.2,denoisedTotalIntensity.1,denoisedTotalIntensityMult.1,denoisedTotalIntensity.2,denoisedTotalIntensityMult.2,denoisedNormalTotalIntensity.1,denoisedNormalTotalIntensityMult.1,denoisedNormalTotalIntensity.2,denoisedNormalTotalIntensityMult.2
B3,1,3,25.7481,546.9926,614.2917,135,12272,23.4288,32273,69.3173,10961.4997149113,10961.4997149113,31405.7567812362,28494.2414566072,11173.4997203204,11173.4997203204,32013.1572994739,29045.3320464023
B3,1,4,29.1397,648.0956,620.3507,136,12394,20.5973,38433,66.392,10961.4997149113,10961.4997149113,37339.4747475191,33493.2879391632,11173.4997203204,11173.4997203204,38061.6358618125,34141.0621862046
B3,1,7,47.4679,408.3077,606.9902,156,10838,10.08,44306,52.5995,10961.4997149113,10961.4997149113,44004.8958051701,44887.8852789636,11173.4997203204,11173.4997203204,44855.9689604276,45756.0358212656
B3,1,9,56.6313,216.0437,667.2831,160,13070,19.3144,73681,108.1786,10961.4997149113,10961.4997149113,70962.5469709183,59842.3283007522,11173.4997203204,11173.4997203204,72334.9924147853,60999.7040479956
B3,1,13,77.5547,403.6172,578.7443,128,11516,22.8052,34504,67.9329,10961.4997149113,10961.4997149113,33929.4845969405,32652.9854841303,11173.4997203204,11173.4997203204,34585.6950704303,33284.5079289872
B3,1,16,80.4828,867.7155,648.4266,116,13179,36.8649,36178,86.7894,10961.4997149113,10961.4997149113,34795.6940096105,29506.2985864725,11173.4997203204,11173.4997203204,35468.6573367195,30076.9627859548
B3,1,17,82.9716,664.9504,570.8706,141,12649,21.4501,42439,86.615,10961.4997149113,10961.4997149113,41093.7304323266,36108.4878272183,11173.4997203204,11173.4997203204,41888.500427356,36806.8411377851
B3,1,25,139.2143,184.1111,614.3641,126,12824,30.5582,37865,71.4363,10961.4997149113,10961.4997149113,36582.0255419482,31789.4788428911,11173.4997203204,11173.4997203204,37289.5372706781,32404.3007068627
B3,1,27,145.5486,355.1111,527.8883,144,11462,16.758,28402,38.4198,10961.4997149113,10961.4997149113,27950.667857229,27044.3158282279,11173.4997203204,11173.4997203204,28491.2455054554,27567.364247786
B3,1,28,151.1456,76.7911,673.4546,158,12640,14.5934,47554,62.0877,10961.4997149113,10961.4997149113,46051.9769013745,40423.0547387487,11173.4997203204,11173.4997203204,46942.6414642637,41204.8535843583
B3,1,29,151.379,700.9435,514.4446,124,11552,23.4463,24092,46.8526,10961.4997149113,10961.4997149113,23678.7030997204,22766.4433709399,11173.4997203204,11173.4997203204,24136.6591564443,23206.7559416021
B3,1,30,154.2759,272.4069,554.5575,145,11885,17.9882,31624,45.6983,10961.4997149113,10961.4997149113,30936.6751397575,28921.6893510406,11173.4997203204,11173.4997203204,31535.0034221592,29481.0469625288
B3,1,31,156.8355,582.0132,484.9876,152,11978,15.4526,39943,55.075,10961.4997149113,10961.4997149113,39024.8481790281,36139.8920987702,11173.4997203204,11173.4997203204,39779.6051228968,36838.8527811303
