well,binning,celltype,channel.1,channel.2,treatment,experiment,magnification,marker.1,marker.2,media.overnight,media.starvation,microscope,pretreatment,rep,time.pretreatment,time.starvation,time.treatment,treatment.1,treatment.2,G1,n,mad_nucleus.median.1,mad_nucleus.mad.1,mad_nucleus.logmean.1,mad_nucleus.logsd.1,median_nucleus.median.1,median_nucleus.mad.1,median_nucleus.logmean.1,median_nucleus.logsd.1,mean_nucleus.median.1,mean_nucleus.mad.1,mean_nucleus.logmean.1,mean_nucleus.logsd.1,std_nucleus.median.1,std_nucleus.mad.1,std_nucleus.logmean.1,std_nucleus.logsd.1,max_nucleus.median.1,max_nucleus.mad.1,max_nucleus.logmean.1,max_nucleus.logsd.1,sum_nucleus.median.1,sum_nucleus.mad.1,sum_nucleus.logmean.1,sum_nucleus.logsd.1,length_nucleus.median.1,length_nucleus.mad.1,length_nucleus.logmean.1,length_nucleus.logsd.1,mad_halo.median.1,mad_halo.mad.1,mad_halo.logmean.1,mad_halo.logsd.1,median_halo.median.1,median_halo.mad.1,median_halo.logmean.1,median_halo.logsd.1,mean_halo.median.1,mean_halo.mad.1,mean_halo.logmean.1,mean_halo.logsd.1,std_halo.median.1,std_halo.mad.1,std_halo.logmean.1,std_halo.logsd.1,max_halo.median.1,max_halo.mad.1,max_halo.logmean.1,max_halo.logsd.1,sum_halo.median.1,sum_halo.mad.1,sum_halo.logmean.1,sum_halo.logsd.1,length_halo.median.1,length_halo.mad.1,length_halo.logmean.1,length_halo.logsd.1,median_nucleus.div.median_halo.median.1,median_nucleus.div.median_halo.mad.1,median_nucleus.div.median_halo.logmean.1,median_nucleus.div.median_halo.logsd.1,mean_nucleus.div.mean_halo.median.1,mean_nucleus.div.mean_halo.mad.1,mean_nucleus.div.mean_halo.logmean.1,mean_nucleus.div.mean_halo.logsd.1,mad_nucleus.median.2,mad_nucleus.mad.2,mad_nucleus.logmean.2,mad_nucleus.logsd.2,median_nucleus.median.2,median_nucleus.mad.2,median_nucleus.logmean.2,median_nucleus.logsd.2,mean_nucleus.median.2,mean_nucleus.mad.2,mean_nucleus.logmean.2,mean_nucleus.logsd.2,std_nucleus.median.2,std_nucleus.mad.2,std_nucleus.logmean.2,std_nucleus.logsd.2,max_nucleus.median.2,max_nucleus.mad.2,max_nucleus.logmean.2,max_nucleus.logsd.2,sum_nucleus.median.2,sum_nucleus.mad.2,sum_nucleus.logmean.2,sum_nucleus.logsd.2,length_nucleus.median.2,length_nucleus.mad.2,length_nucleus.logmean.2,length_nucleus.logsd.2,mad_halo.median.2,mad_halo.mad.2,mad_halo.logmean.2,mad_halo.logsd.2,median_halo.median.2,median_halo.mad.2,median_halo.logmean.2,median_halo.logsd.2,mean_halo.median.2,mean_halo.mad.2,mean_halo.logmean.2,mean_halo.logsd.2,std_halo.median.2,std_halo.mad.2,std_halo.logmean.2,std_halo.logsd.2,max_halo.median.2,max_halo.mad.2,max_halo.logmean.2,max_halo.logsd.2,sum_halo.median.2,sum_halo.mad.2,sum_halo.logmean.2,sum_halo.logsd.2,length_halo.median.2,length_halo.mad.2,length_halo.logmean.2,length_halo.logsd.2,median_nucleus.div.median_halo.median.2,median_nucleus.div.median_halo.mad.2,median_nucleus.div.median_halo.logmean.2,median_nucleus.div.median_halo.logsd.2,mean_nucleus.div.mean_halo.median.2,mean_nucleus.div.mean_halo.mad.2,mean_nucleus.div.mean_halo.logmean.2,mean_nucleus.div.mean_halo.logsd.2,mad_nucleus.median.3,mad_nucleus.mad.3,mad_nucleus.logmean.3,mad_nucleus.logsd.3,median_nucleus.median.3,median_nucleus.mad.3,median_nucleus.logmean.3,median_nucleus.logsd.3,mean_nucleus.median.3,mean_nucleus.mad.3,mean_nucleus.logmean.3,mean_nucleus.logsd.3,std_nucleus.median.3,std_nucleus.mad.3,std_nucleus.logmean.3,std_nucleus.logsd.3,max_nucleus.median.3,max_nucleus.mad.3,max_nucleus.logmean.3,max_nucleus.logsd.3,sum_nucleus.median.3,sum_nucleus.mad.3,sum_nucleus.logmean.3,sum_nucleus.logsd.3,length_nucleus.median.3,length_nucleus.mad.3,length_nucleus.logmean.3,length_nucleus.logsd.3,mad_halo.median.3,mad_halo.mad.3,mad_halo.logmean.3,mad_halo.logsd.3,median_halo.median.3,median_halo.mad.3,median_halo.logmean.3,median_halo.logsd.3,mean_halo.median.3,mean_halo.mad.3,mean_halo.logmean.3,mean_halo.logsd.3,std_halo.median.3,std_halo.mad.3,std_halo.logmean.3,std_halo.logsd.3,max_halo.median.3,max_halo.mad.3,max_halo.logmean.3,max_halo.logsd.3,sum_halo.median.3,sum_halo.mad.3,sum_halo.logmean.3,sum_halo.logsd.3,length_halo.median.3,length_halo.mad.3,length_halo.logmean.3,length_halo.logsd.3,median_nucleus.div.median_halo.median.3,median_nucleus.div.median_halo.mad.3,median_nucleus.div.median_halo.logmean.3,median_nucleus.div.median_halo.logsd.3,mean_nucleus.div.mean_halo.median.3,mean_nucleus.div.mean_halo.mad.3,mean_nucleus.div.mean_halo.logmean.3,mean_nucleus.div.mean_halo.logsd.3
E7,2x2,HCEC,DAPI,FITC,ctrl+ctrl,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,1,100,195,60,ctrl,ctrl,0.752436647,772,63.174,18.4420614,4.135802731,0.301164177,324,48.55515,5.774263157,0.155172368,319.35,45.634428,5.759731551,0.145904131,77.8735,21.3116337,4.343890664,0.294240621,534,102.2994,6.274005763,0.194222966,120850,6538.266,11.70384616,0.05233044,380,53.3736,5.944108914,0.139159483,28.2295,1.9088475,3.358047707,0.123542025,41,5.9304,3.708474836,0.165995705,51.235,5.2380258,3.939915971,0.123408134,34.9805,1.9058823,3.584322378,0.145050479,150,1.4826,5.087296606,0.247454142,18873.5,2331.3885,9.84583239,0.13681559,366,23.7216,5.90591637,0.06646553,7.725595238,1.578182169,2.065788321,0.222189173,6.157492188,1.13019433,1.81981558,0.186838909,208.36,61.520487,5.336015417,0.321083769,573,151.59585,6.349192819,0.293575816,579.91,146.977551,6.359532131,0.286290274,252.445,74.115174,5.528369426,0.317864889,1320,372.1326,7.182627408,0.290178404,216560,59274.348,12.3036428,0.337679896,380,53.3736,5.944108914,0.139159483,29.223,9.0520143,3.41461654,0.357665753,67.75,14.45535,4.212036821,0.209914344,78.741,17.7289308,4.379824533,0.235870797,41.4015,13.8163494,3.790093741,0.412222768,312,120.0906,5.837288514,0.483995796,28622.5,6796.2384,10.28596615,0.261564278,366,23.7216,5.906142298,0.066452196,8.461032389,1.718932461,2.137155999,0.21301032,7.267765888,1.354957867,1.979707598,0.198956888,4.09925,0.32165007,1.433334898,0.154840819,18,4.4478,3.001666422,0.496801201,18.0835,4.7687829,3.010734166,0.492740225,5.1616,0.39451986,1.665365168,0.155436768,35,5.9304,3.653876724,0.362806429,6883,2040.0576,8.952450675,0.514204274,379,51.891,5.941716498,0.138934211,4.67705,0.54796896,1.587222207,0.224630417,18,4.4478,3.02802362,0.48907405,18.777,4.751733,3.045633508,0.485103056,5.9153,0.75056625,1.831294524,0.241967076,40,10.3782,3.809998454,0.410400773,6882.5,1791.7221,8.948248098,0.493802486,364,23.7216,5.902614254,0.067343711,0.986571738,0.062457925,-0.026357198,0.064923238,0.971457342,0.049883704,-0.034899341,0.064661292
E8,2x2,HCEC,DAPI,FITC,TGFB1+ctrl,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,1,100,195,60,ctrl,TGFB1,0.74863388,822,57.545,17.5265559,4.040030787,0.306094498,311.75,50.77905,5.738574285,0.161794645,310.59,47.420961,5.733543973,0.15188062,72.1655,21.208593,4.263931839,0.300471333,524.5,100.0755,6.249056861,0.193834249,119610,6412.245,11.69571307,0.055330687,386,54.8562,5.962164908,0.147540361,25.417,2.8606767,3.268675171,0.183072853,25,5.9304,3.269639738,0.257086617,39.141,5.5293567,3.709995863,0.181326117,33.561,2.8680897,3.556778249,0.201609916,150,1.4826,5.107418442,0.284875966,14564,2371.4187,9.62541045,0.193697688,368,23.7216,5.915414245,0.070740063,12.22001934,3.237470121,2.468934547,0.281903034,7.664025512,1.736033231,2.023548111,0.227278349,216.875,59.548629,5.387454915,0.293583203,637.25,171.2403,6.468104814,0.277858979,631.305,168.208383,6.459798671,0.271773001,261.375,71.350125,5.571332627,0.290924304,1305,340.998,7.179159675,0.272201242,241210,76346.487,12.42196561,0.333935818,386,54.8562,5.962164908,0.147540361,32.592,11.5590909,3.544083495,0.397836557,62,15.19665,4.149189608,0.276766932,78.135,20.867595,4.389349642,0.2852514,51.5665,20.697096,3.989329662,0.437475309,393.5,172.7229,6.032269068,0.460982023,28885.5,8152.0761,10.30495096,0.308525287,368,23.7216,5.915601467,0.070777806,10.36568627,2.255337366,2.318915206,0.248250526,8.150048893,1.602192545,2.070449029,0.22101987,4.22485,0.38651382,1.46792427,0.178775395,21,8.8956,3.125239195,0.519979366,21.224,8.4552678,3.130247235,0.517331743,5.29195,0.48095544,1.694462241,0.174012465,38,10.3782,3.708446942,0.372634297,8052.5,3314.3523,9.090430526,0.53992971,385,54.8562,5.96018354,0.147411394,4.7351,0.59289174,1.617739003,0.265910133,22,8.8956,3.151888217,0.511876119,22.2955,8.8600176,3.163445171,0.507218286,5.95835,0.78696408,1.849219528,0.267221344,42,11.8608,3.827730105,0.401796328,8115,3209.0877,9.076515614,0.516009775,368,23.7216,5.913070919,0.07104908,0.989188873,0.051362333,-0.026649022,0.061292123,0.973759035,0.048177495,-0.033197936,0.058861977
E9,2x2,HCEC,DAPI,FITC,ctrl+BMP4,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,1,100,195,60,BMP4,ctrl,0.746736292,858,59.5175,17.3508678,4.078790695,0.295842831,316.25,48.55515,5.762709373,0.162071121,316.235,44.818998,5.757196239,0.15163593,74.2165,20.7223002,4.303738351,0.290217693,535,103.0407,6.282754018,0.189018766,122625,6241.746,11.7177505,0.047820455,388,57.0801,5.960551107,0.15273092,25.4065,2.765049,3.28202703,0.182496175,26,5.9304,3.266468482,0.20488221,38.8455,5.159448,3.695515511,0.157412271,33.4175,2.6679387,3.566214976,0.206575256,149,1.4826,5.108631077,0.296321459,14585.5,2208.3327,9.608682282,0.166248244,370,26.6868,5.913166731,0.072910788,12.28991597,3.199015054,2.496240891,0.243594012,7.954883444,1.548355535,2.061680728,0.208305023,262.82,66.212916,5.587237596,0.270388812,880.75,198.6684,6.794052063,0.2485905,860.57,191.233161,6.767935353,0.24053991,317.15,79.207905,5.774571139,0.266464774,1608,366.2022,7.387166332,0.222340661,331525,80586.723,12.72848773,0.28567634,388,57.0801,5.960551107,0.15273092,45.342,13.7926278,3.864246629,0.347921393,99.5,20.0151,4.615769437,0.210687316,119.47,23.165625,4.808407167,0.225636811,68.939,22.9106178,4.297142814,0.387164856,535,184.5837,6.339813135,0.398477763,44117,9184.707,10.72202407,0.232644216,370,26.6868,5.91361746,0.072760347,8.863414273,1.514463574,2.178282626,0.186428287,7.162837388,1.080639167,1.959528187,0.178475498,3.9723,0.25982565,1.384908168,0.100064111,17,2.9652,2.807753126,0.248420031,16.717,3.4611297,2.814710188,0.244950543,4.9683,0.32483766,1.613894312,0.112716666,32,4.4478,3.495590743,0.197931565,6454.5,1575.2625,8.772723198,0.27338096,387,56.3388,5.958011933,0.15254865,4.44495,0.47680416,1.516053482,0.153849414,17,2.9652,2.835268401,0.24785156,17.366,3.5930811,2.850207428,0.243902814,5.5852,0.61416705,1.756488527,0.177504393,36,6.6717,3.644287721,0.285119875,6358.5,1348.4247,8.760079365,0.253884656,368,26.6868,5.909872613,0.073408996,0.978723404,0.061117819,-0.027515275,0.070409018,0.967114213,0.058603364,-0.03549724,0.065895077
E10,2x2,HCEC,DAPI,FITC,TGFB1+BMP4,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,1,100,195,60,BMP4,TGFB1,0.668825911,826,59.711,19.9216962,4.071897705,0.327731398,322,53.3736,5.767579766,0.167097371,316.595,46.094034,5.75094914,0.154316089,74.64,23.5740813,4.290919416,0.318378501,507,99.3342,6.229050894,0.201060959,119655,7153.545,11.69010922,0.057591659,377,53.3736,5.939156229,0.149482766,28.064,4.1371953,3.345769442,0.162866419,22,5.9304,3.129767943,0.28090523,38.922,6.0238038,3.683673656,0.177833344,36.0085,3.7887843,3.611911897,0.159794843,150,1.4826,5.101481231,0.264441547,14293,2510.0418,9.588587041,0.195740663,366,23.7216,5.904913569,0.071467016,14.66590909,4.624212009,2.637811824,0.321059027,8.077025224,1.872166575,2.067275484,0.244063686,268.395,64.730316,5.603457168,0.260039634,997.75,199.78035,6.916953336,0.220746412,966.51,195.384441,6.883560546,0.216116501,324.27,75.716382,5.79121895,0.250974081,1632,365.4609,7.401030481,0.206041826,359935,85887.018,12.82271868,0.278956639,377,53.3736,5.939156229,0.149482766,69.3375,27.5074191,4.257216685,0.373534379,108.75,23.7216,4.712555226,0.249722071,143.42,33.536412,4.99897887,0.259003338,101.1,37.5794622,4.616082255,0.358017298,642.5,198.6684,6.488580437,0.337564348,52382,13055.7756,10.90426729,0.280517068,366,23.7216,5.905288263,0.071476673,9.144230769,1.706413367,2.20439811,0.210873023,6.669834373,1.447356255,1.884581676,0.212231972,3.927,0.30556386,1.365993223,0.092586434,17,4.4478,2.827495234,0.27872707,16.9395,4.0526871,2.833725513,0.27088233,4.9199,0.37072413,1.592775612,0.09520417,32,5.9304,3.485970557,0.193812432,6325.5,1703.5074,8.76628234,0.324168478,375,55.5975,5.932556963,0.156821449,4.33925,0.50601138,1.491156945,0.160292383,17,4.4478,2.852727986,0.28057928,17.5135,4.277301,2.864665165,0.275582956,5.43505,0.5982291,1.720932845,0.182567021,34,5.9304,3.571134867,0.252215753,6390.5,1538.9388,8.761425652,0.310697258,364,25.9455,5.896759832,0.08896707,1,0.082366667,-0.025232752,0.071883583,0.973022505,0.056824775,-0.030939652,0.067792581
F7,2x2,HCEC,DAPI,FITC,ctrl+ctrl,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,2,100,195,60,ctrl,ctrl,0.766695577,884,60.3905,18.4383549,4.079306891,0.29497904,314,48.9258,5.751009315,0.152877079,309.13,45.197061,5.734541366,0.143563524,74.189,21.9936297,4.285245841,0.28847253,502.5,94.1451,6.223869695,0.183566633,120300,6745.83,11.69910517,0.053649329,388,54.8562,5.964559513,0.137629338,28.5775,2.3751252,3.373401353,0.131998923,41,7.413,3.712899012,0.181253817,51.842,5.7576771,3.946261193,0.133073205,35.2605,2.3855034,3.602070752,0.15650544,150,1.4826,5.113464096,0.270988928,19216,2460.3747,9.8617856,0.145743293,370,23.7216,5.915524273,0.06590468,7.537523452,1.704013907,2.038110303,0.241779778,5.924454485,1.110500603,1.788280173,0.196637997,199.86,62.187657,5.302863792,0.335858728,552.5,163.8273,6.333236399,0.316045189,557.505,160.921404,6.341514016,0.307299925,239.8,76.05738,5.494101194,0.332430275,1262,389.9238,7.152853969,0.305207223,212945,68792.64,12.30607532,0.35971554,388,54.8562,5.964559513,0.137629338,30.107,10.4552952,3.452660121,0.386619922,65,14.826,4.178462732,0.244865148,77.3505,18.9127869,4.362723019,0.269668671,42.9215,15.9349848,3.825970959,0.437509569,312,131.9514,5.843873863,0.503170356,28850.5,7679.1267,10.27835238,0.295458341,370,23.7216,5.915630197,0.065863382,8.594683393,1.926418822,2.154773667,0.231578028,7.259861179,1.479647178,1.978790997,0.218078802,4.02805,0.27554121,1.398875472,0.096146818,15.75,3.33585,2.762974268,0.249714337,15.578,3.3936714,2.769892214,0.246602586,5.0611,0.37235499,1.628324721,0.100348024,32,4.4478,3.499495301,0.19433925,6062,1574.5212,8.730494163,0.283428209,386,54.8562,5.960602118,0.137878812,4.5188,0.47732307,1.532538838,0.161961285,16,2.9652,2.80257719,0.244723837,16.4265,3.773217,2.82082651,0.243080377,5.69955,0.63840756,1.776304864,0.191147172,37,7.413,3.660882609,0.294564718,6084,1510.0281,8.73129507,0.258701831,368,25.2042,5.910468043,0.067131612,0.954545455,0.067390909,-0.039602922,0.075210655,0.956983292,0.064295477,-0.050934295,0.072451238
F8,2x2,HCEC,DAPI,FITC,TGFB1+ctrl,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,2,100,195,60,ctrl,TGFB1,0.728813559,645,58.031,17.0602782,4.058914859,0.291237287,310,47.4432,5.740256987,0.148871078,306.12,44.25561,5.727894588,0.140306495,71.996,21.0128898,4.272867861,0.283696116,504,106.7472,6.227109897,0.198073933,122460,6108.312,11.71826869,0.050713819,397,56.3388,5.990371848,0.140909884,26.455,4.1275584,3.33788238,0.193789566,25,5.9304,3.278726044,0.233448704,39.377,6.5427138,3.725875352,0.17988063,34.617,4.1053194,3.593654948,0.169091534,150,1.4826,5.075199423,0.227689945,15095,3009.678,9.653601067,0.195774815,374,25.2042,5.927725879,0.067550319,12.01818182,3.288676364,2.461530942,0.280721712,7.616588419,1.882582123,2.002019236,0.24174749,200.46,69.919416,5.273495879,0.391167157,607,170.499,6.431303112,0.297850583,602.41,166.614588,6.422491746,0.293171474,240.35,83.54451,5.458173763,0.387101808,1207,389.9238,7.098260361,0.334273148,238350,71713.362,12.41286536,0.34642654,397,56.3388,5.990371848,0.140909884,37.671,18.132198,3.709299821,0.482179801,62.5,15.5673,4.201864136,0.305499813,80.989,24.5488908,4.459488873,0.336681036,58.137,27.116754,4.105556407,0.453522821,403,149.7426,6.050450592,0.429354537,30379,10118.745,10.38745978,0.359076916,374,26.6868,5.927970647,0.067528646,9.933962264,2.856702453,2.229438976,0.330922704,7.868221636,2.194504272,1.963002873,0.343003498,4.0322,0.26494062,1.398741701,0.079921051,17,2.9652,2.848608476,0.287704247,16.719,3.6264396,2.853941515,0.284871906,5.0565,0.31149426,1.625762278,0.080736072,33,4.4478,3.520175451,0.207583003,6787,1669.4076,8.841964814,0.315200431,396,54.8562,5.988023671,0.140791478,4.4984,0.43202964,1.525978161,0.150075478,17,2.9652,2.877564473,0.283324786,17.432,3.669435,2.890065074,0.280124719,5.6653,0.58028964,1.758900935,0.169581334,36,7.413,3.628404811,0.258199851,6558,1538.9388,8.814918005,0.293476447,374,26.6868,5.924854154,0.068205011,1,0.078031579,-0.028955997,0.06644666,0.971877781,0.054728054,-0.036123558,0.066495261
F9,2x2,HCEC,DAPI,FITC,ctrl+BMP4,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,2,100,195,60,BMP4,ctrl,0.743891403,822,57.523,17.2685835,4.038102711,0.299179591,312,50.4084,5.741617945,0.165877467,310,47.005833,5.734931623,0.155739732,71.6315,21.0870198,4.26160708,0.295993163,518,103.782,6.250055871,0.194216267,121655,6390.006,11.71195899,0.050331701,391,56.3388,5.977024042,0.14795529,26.294,3.9162879,3.292411904,0.187568611,28,10.3782,3.366718003,0.330799659,41.4455,9.0683229,3.755491441,0.210025248,34.2005,3.4670601,3.568661648,0.199740207,150,1.4826,5.115457524,0.296451878,15618.5,3444.8211,9.677660143,0.217219141,372,26.6868,5.922168447,0.070968978,11.14818182,4.273322344,2.374899942,0.353892085,7.262870728,1.852966182,1.979440182,0.248635481,268.62,73.233027,5.596467022,0.278681672,912.5,209.7879,6.818209339,0.239208548,890.075,199.735872,6.791912707,0.233389859,324.985,87.503052,5.786550343,0.273333471,1649,397.3368,7.406011264,0.22243909,341370,90779.598,12.76893761,0.285510567,391,56.3388,5.977024042,0.14795529,49.6705,15.8942133,3.95243273,0.348081294,105,22.239,4.663015605,0.212090757,128.005,27.413274,4.869312518,0.219912275,76.1425,27.6252858,4.371942643,0.378678001,565,209.0466,6.385117419,0.395632251,47160,10844.4777,10.79173602,0.235695686,372,26.6868,5.92242291,0.070959656,8.702025368,1.590668833,2.155193734,0.200346412,6.911322155,1.163765917,1.922600189,0.183990258,4.0648,0.2994852,1.44403478,0.257011168,16,2.9652,2.894016564,0.487294814,16.2975,3.4463037,2.898088191,0.486644701,5.0951,0.38681034,1.670877899,0.252615299,33,5.9304,3.569515218,0.392566248,6439,1653.8403,8.872779321,0.503988292,390.5,55.5975,5.974691023,0.14783137,4.5728,0.44292675,1.592019459,0.333029797,17,4.4478,2.923230989,0.484696301,17.0045,3.810282,2.937743978,0.482566595,5.75765,0.58874046,1.829428684,0.335375357,37,7.413,3.726928349,0.437281871,6361,1587.1233,8.856578963,0.487852419,370,25.2042,5.918834088,0.071459462,1,0.078031579,-0.029214425,0.072485547,0.965793714,0.053814333,-0.039655786,0.072079698
F10,2x2,HCEC,DAPI,FITC,TGFB1+BMP4,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,2,100,195,60,BMP4,TGFB1,0.773612112,1073,61.367,19.2485958,4.088474093,0.312354534,324,48.9258,5.774459542,0.152699926,316.51,44.285262,5.752476924,0.141720559,75.812,22.3753992,4.301228722,0.30078828,502,96.369,6.212457061,0.189998142,120710,6108.312,11.70382118,0.049753577,382,51.891,5.951339625,0.137271259,29.067,5.2054086,3.389422076,0.172234771,22,5.9304,3.153627672,0.292228696,39.435,5.9274348,3.707149541,0.17772609,37.304,4.7576634,3.63938633,0.160161776,150,1.4826,5.103051105,0.257859634,14659,2521.9026,9.615489834,0.194686174,367,23.7216,5.90834017,0.064428831,14.42105263,4.490717368,2.62083187,0.333680721,7.817612678,1.883046436,2.045327382,0.241801522,245.64,69.726678,5.510754353,0.287746028,936,207.564,6.8502961,0.235615528,909.77,197.823318,6.820427939,0.229643649,296.22,82.610472,5.696785495,0.281858932,1527,363.237,7.330176115,0.231088084,344270,87191.706,12.7717675,0.279750823,382,51.891,5.951339625,0.137271259,67.756,29.3376888,4.237460166,0.405724594,106.5,25.9455,4.6939164,0.273945702,140.6,37.628388,4.973785607,0.2805575,94.582,38.3281752,4.563753545,0.380763366,582,201.6336,6.389402543,0.354786157,51669,14542.8234,10.88250188,0.296811478,368,23.7216,5.908716424,0.064511961,8.912087912,1.905797721,2.1563797,0.242628558,6.515351344,1.553159204,1.846642332,0.238213739,3.9076,0.27961836,1.367621408,0.091658006,16,2.9652,2.760996742,0.220547811,15.773,3.061569,2.764929148,0.218971568,4.8903,0.34737318,1.593667937,0.09752127,31,4.4478,3.443776425,0.175085012,6018,1295.7924,8.713455985,0.248638354,381,51.891,5.948526918,0.136982236,4.2837,0.43543962,1.478909964,0.165821516,16,2.9652,2.785016546,0.223060485,16.253,3.2291028,2.796009215,0.223813641,5.3582,0.54989634,1.707904314,0.187324626,33,4.4478,3.528253753,0.242151375,5989,1246.8666,8.700410537,0.235246527,366,23.7216,5.904401604,0.064769925,1,0.082366667,-0.024019805,0.06807992,0.972716566,0.055922471,-0.031080067,0.07055253
G7,2x2,HCEC,DAPI,FITC,ctrl+ctrl,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,3,100,195,60,ctrl,ctrl,0.745325022,837,56.937,15.3730794,4.034868397,0.284782401,313,45.2193,5.739763927,0.151216231,309.88,42.47649,5.731378898,0.142902559,70.782,18.9194586,4.253746434,0.279820263,514,93.4038,6.237793048,0.18350878,122950,6849.612,11.72060692,0.054788299,397,54.8562,5.989224649,0.14035122,26.93,2.6004804,3.314474136,0.141074781,32,8.8956,3.476832723,0.241679603,44.238,7.2691878,3.802324926,0.161031361,34.268,2.3706774,3.568307072,0.158201808,150,1.4826,5.082823499,0.245789011,16728,3040.8126,9.729459417,0.171829684,373,25.2042,5.927134568,0.067451612,9.661971831,3.05736746,2.262931204,0.288483749,6.91527536,1.57617745,1.929053972,0.219311291,193.87,61.987506,5.277709128,0.346914902,522,161.6034,6.270495179,0.333966483,527.25,157.793118,6.281940866,0.323251582,235.67,73.003224,5.469579796,0.341690627,1236,364.7196,7.127184915,0.307677895,206910,70660.716,12.27116748,0.375026609,397,54.8562,5.989224649,0.14035122,26.145,7.9645272,3.329653969,0.3777766,60,11.8608,4.097826461,0.205491293,69.414,14.7948654,4.268751,0.241936495,38.824,13.1669706,3.734002556,0.43545416,302,124.5384,5.797644905,0.494191159,25773,5762.8662,10.19617744,0.266917233,373,25.2042,5.927426551,0.06741047,8.803921569,2.092044118,2.172668718,0.245831334,7.548507223,1.526514608,2.013189866,0.224083897,4.0242,0.26583018,1.397633844,0.095588387,15,2.9652,2.724203312,0.178646167,15.242,2.3439906,2.730596235,0.175136164,5.043,0.3157938,1.626154587,0.096743536,31,4.4478,3.461325402,0.161534639,6085,1168.2888,8.716784618,0.212721799,396,54.8562,5.986187771,0.140070056,4.4837,0.4062324,1.524458699,0.155674703,16,2.9652,2.753758916,0.171442901,15.932,2.535246,2.771931435,0.173261516,5.6474,0.54070422,1.769324748,0.198842728,35,5.9304,3.634611854,0.30937905,5946,1025.9592,8.694734373,0.187044979,372,25.2042,5.922803425,0.067843434,1,0.0926625,-0.029555604,0.080472589,0.964299769,0.061643551,-0.0413352,0.075677266
G8,2x2,HCEC,DAPI,FITC,TGFB1+ctrl,TE23.pSmad158,20x,Hoechst,pSmad158,RPMI+10%FBS,DMEM,nikon2,DMEM,3,100,195,60,ctrl,TGFB1,0.619433198,459,55.523,14.692566,4.00531771,0.269844737,307,41.5128,5.724697748,0.145339075,306.21,37.109478,5.718304048,0.133532726,69.594,17.6162532,4.229189142,0.264580793,500,80.0604,6.209777502,0.171502301,122580,6182.442,11.72100791,0.048547779,404,51.891,6.002698713,0.132236164,26.492,3.0141258,3.307483031,0.173325514,22,2.9652,3.099317327,0.1547435,37.173,3.8962728,3.642035149,0.137762848,34.9,2.9785434,3.592970468,0.181325912,150,1.4826,5.104640237,0.26737399,14097,1967.4102,9.57345795,0.154873094,375,23.7216,5.931422091,0.064129146,13.90909091,3.028098182,2.625380421,0.207395949,8.048069324,1.511840629,2.076268899,0.196072627,198.1,59.407782,5.288077937,0.359147683,615.5,168.2751,6.444346786,0.315182634,606.35,162.685698,6.430313107,0.310608315,236.87,69.563592,5.47204946,0.354764877,1187,354.3414,7.090879488,0.321076574,247630,75493.992,12.43301473,0.353888098,404,51.891,6.002698713,0.132236164,38.521,14.6836704,3.699278333,0.401891763,59,11.8608,4.097517532,0.215741214,79.163,19.0306536,4.400035268,0.260572711,57.88,22.1470788,4.118676147,0.416477333,412,173.4642,6.082228462,0.433260519,30040,7751.0328,10.33209798,0.28012192,375,23.7216,5.9320625,0.063950851,10.47959184,2.100784729,2.346829253,0.215579609,7.741559812,1.485359351,2.030277839,0.214928865,3.9979,0.26583018,1.392584096,0.100167521,17,2.9652,2.843391935,0.167268658,17.357,2.5456242,2.848967418,0.164906067,5.0186,0.3402567,1.620968004,0.106237625,33,2.9652,3.502137653,0.150511021,6977,1221.6624,8.850326912,0.190924463,403,51.891,6.001358041,0.132028175,4.4121,0.4470039,1.506239326,0.134918978,18,2.9652,2.87837252,0.171468414,18.145,2.7487404,2.888718404,0.169271609,5.526,0.52795386,1.738931278,0.157610658,36,4.4478,3.593292416,0.209150907,6830,1088.2284,8.818635119,0.17614843,374,23.7216,5.929916555,0.063722508,0.954545455,0.067390909,-0.034980584,0.067188156,0.962760928,0.05190426,-0.039750986,0.061900352
