,well,celltype,channel.1,channel.2,channel.3,experiment,media.overnight,media.treatment,rep,time.treatment,treatment,marker.1,marker.2,marker.3,cotreatment,G1,n,mad_nucleus.median.1,mad_nucleus.mad.1,mad_nucleus.logmean.1,mad_nucleus.logsd.1,median_nucleus.median.1,median_nucleus.mad.1,median_nucleus.logmean.1,median_nucleus.logsd.1,mean_nucleus.median.1,mean_nucleus.mad.1,mean_nucleus.logmean.1,mean_nucleus.logsd.1,std_nucleus.median.1,std_nucleus.mad.1,std_nucleus.logmean.1,std_nucleus.logsd.1,max_nucleus.median.1,max_nucleus.mad.1,max_nucleus.logmean.1,max_nucleus.logsd.1,sum_nucleus.median.1,sum_nucleus.mad.1,sum_nucleus.logmean.1,sum_nucleus.logsd.1,length_nucleus.median.1,length_nucleus.mad.1,length_nucleus.logmean.1,length_nucleus.logsd.1,mad_halo.median.1,mad_halo.mad.1,mad_halo.logmean.1,mad_halo.logsd.1,median_halo.median.1,median_halo.mad.1,median_halo.logmean.1,median_halo.logsd.1,mean_halo.median.1,mean_halo.mad.1,mean_halo.logmean.1,mean_halo.logsd.1,std_halo.median.1,std_halo.mad.1,std_halo.logmean.1,std_halo.logsd.1,max_halo.median.1,max_halo.mad.1,max_halo.logmean.1,max_halo.logsd.1,sum_halo.median.1,sum_halo.mad.1,sum_halo.logmean.1,sum_halo.logsd.1,length_halo.median.1,length_halo.mad.1,length_halo.logmean.1,length_halo.logsd.1,median_nucleus.div.median_halo.median.1,median_nucleus.div.median_halo.mad.1,median_nucleus.div.median_halo.logmean.1,median_nucleus.div.median_halo.logsd.1,mean_nucleus.div.mean_halo.median.1,mean_nucleus.div.mean_halo.mad.1,mean_nucleus.div.mean_halo.logmean.1,mean_nucleus.div.mean_halo.logsd.1,mad_nucleus.median.2,mad_nucleus.mad.2,mad_nucleus.logmean.2,mad_nucleus.logsd.2,median_nucleus.median.2,median_nucleus.mad.2,median_nucleus.logmean.2,median_nucleus.logsd.2,mean_nucleus.median.2,mean_nucleus.mad.2,mean_nucleus.logmean.2,mean_nucleus.logsd.2,std_nucleus.median.2,std_nucleus.mad.2,std_nucleus.logmean.2,std_nucleus.logsd.2,max_nucleus.median.2,max_nucleus.mad.2,max_nucleus.logmean.2,max_nucleus.logsd.2,sum_nucleus.median.2,sum_nucleus.mad.2,sum_nucleus.logmean.2,sum_nucleus.logsd.2,length_nucleus.median.2,length_nucleus.mad.2,length_nucleus.logmean.2,length_nucleus.logsd.2,mad_halo.median.2,mad_halo.mad.2,mad_halo.logmean.2,mad_halo.logsd.2,median_halo.median.2,median_halo.mad.2,median_halo.logmean.2,median_halo.logsd.2,mean_halo.median.2,mean_halo.mad.2,mean_halo.logmean.2,mean_halo.logsd.2,std_halo.median.2,std_halo.mad.2,std_halo.logmean.2,std_halo.logsd.2,max_halo.median.2,max_halo.mad.2,max_halo.logmean.2,max_halo.logsd.2,sum_halo.median.2,sum_halo.mad.2,sum_halo.logmean.2,sum_halo.logsd.2,length_halo.median.2,length_halo.mad.2,length_halo.logmean.2,length_halo.logsd.2,median_nucleus.div.median_halo.median.2,median_nucleus.div.median_halo.mad.2,median_nucleus.div.median_halo.logmean.2,median_nucleus.div.median_halo.logsd.2,mean_nucleus.div.mean_halo.median.2,mean_nucleus.div.mean_halo.mad.2,mean_nucleus.div.mean_halo.logmean.2,mean_nucleus.div.mean_halo.logsd.2,mad_nucleus.median.3,mad_nucleus.mad.3,mad_nucleus.logmean.3,mad_nucleus.logsd.3,median_nucleus.median.3,median_nucleus.mad.3,median_nucleus.logmean.3,median_nucleus.logsd.3,mean_nucleus.median.3,mean_nucleus.mad.3,mean_nucleus.logmean.3,mean_nucleus.logsd.3,std_nucleus.median.3,std_nucleus.mad.3,std_nucleus.logmean.3,std_nucleus.logsd.3,max_nucleus.median.3,max_nucleus.mad.3,max_nucleus.logmean.3,max_nucleus.logsd.3,sum_nucleus.median.3,sum_nucleus.mad.3,sum_nucleus.logmean.3,sum_nucleus.logsd.3,length_nucleus.median.3,length_nucleus.mad.3,length_nucleus.logmean.3,length_nucleus.logsd.3,mad_halo.median.3,mad_halo.mad.3,mad_halo.logmean.3,mad_halo.logsd.3,median_halo.median.3,median_halo.mad.3,median_halo.logmean.3,median_halo.logsd.3,mean_halo.median.3,mean_halo.mad.3,mean_halo.logmean.3,mean_halo.logsd.3,std_halo.median.3,std_halo.mad.3,std_halo.logmean.3,std_halo.logsd.3,max_halo.median.3,max_halo.mad.3,max_halo.logmean.3,max_halo.logsd.3,sum_halo.median.3,sum_halo.mad.3,sum_halo.logmean.3,sum_halo.logsd.3,length_halo.median.3,length_halo.mad.3,length_halo.logmean.3,length_halo.logsd.3,median_nucleus.div.median_halo.median.3,median_nucleus.div.median_halo.mad.3,median_nucleus.div.median_halo.logmean.3,median_nucleus.div.median_halo.logsd.3,mean_nucleus.div.mean_halo.median.3,mean_nucleus.div.mean_halo.mad.3,mean_nucleus.div.mean_halo.logmean.3,mean_nucleus.div.mean_halo.logsd.3
1,C3,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+ctrl,Hoechst,Smad23,,MG132+CHX,0.667808219,390,126.475,38.317797,4.880985042,0.354931981,779,130.4688,6.68927292,0.203197164,778.515,123.619188,6.685314447,0.184066446,156.29,47.131854,5.090166882,0.347324601,1216,229.0617,7.110540496,0.191149846,301610,43314.159,12.62477231,0.132856487,391,60.0453,5.939456399,0.194326496,89.7985,12.8089227,4.505166756,0.162364067,44,14.826,3.849059623,0.372007018,101.125,19.8920442,4.637761903,0.200110195,115.28,11.334477,4.754767924,0.12367222,447,2.9652,6.122742614,0.13470408,37163.5,8665.797,10.53972301,0.241156683,369,28.1694,5.901961986,0.086883193,18.30294118,7.76826495,2.840213296,0.427588816,7.739909295,2.392999714,2.047552544,0.311842355,48.8825,17.0447109,3.863517474,0.36673347,383.25,96.73965,5.925395944,0.37155444,377.34,94.51575,5.918572069,0.353972554,60.5945,20.3664762,4.080510979,0.357136818,534.5,137.1405,6.259657929,0.29847698,146400,42402.36,11.85803293,0.387272889,391,60.0453,5.939456399,0.194326496,65.291,27.2835465,4.202581446,0.492299367,212.25,51.891,5.354574819,0.372129743,203.67,51.209004,5.318542047,0.35325446,80.1655,31.8721935,4.407517314,0.462265784,382,93.4038,5.97377075,0.340910099,75308,18145.5414,11.2204328,0.351077,369,28.1694,5.901889882,0.087001142,1.772094749,0.399280123,0.570821125,0.241333299,1.851183373,0.415478058,0.600030021,0.235021299,1.8213,0.30801015,0.628090205,0.188884056,8,1.4826,2.171765039,0.284766816,8.487,2.00440107,2.172595552,0.277084107,2.27115,0.39059097,0.853701581,0.184195149,15,2.9652,2.761822506,0.229985927,3291.5,819.1365,8.11112204,0.292931274,390.5,60.0453,5.938525402,0.19405805,2.14685,0.46049556,0.802130109,0.235775806,7,1.4826,1.997286317,0.286566887,7.11795,1.64724273,2.009001353,0.277730489,2.6574,0.54774657,1.013068262,0.228975299,15,2.9652,2.743348736,0.240659783,2600.5,590.0748,7.899654422,0.285887945,365,28.1694,5.890652896,0.08941737,1.166666667,0.12355,0.174478722,0.137046626,1.161236627,0.106860586,0.163594199,0.106418807
2,C4,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+TGFB3,Hoechst,Smad23,,MG132+CHX,0.685,411,142.9,47.383896,5.001278773,0.352956589,841,169.7577,6.756266659,0.20532896,836.89,154.694484,6.749162191,0.183483502,178.89,57.510054,5.210030879,0.343846996,1292,256.4898,7.180443296,0.18582375,320580,41735.19,12.68243105,0.12988796,390,75.6126,5.93326671,0.204669472,85.78,11.6636142,4.470690594,0.160431557,44,14.826,3.827501692,0.370200339,97.387,18.1366458,4.610019421,0.205389559,111.24,10.481982,4.732577334,0.135003743,447,2.9652,6.139120613,0.172214861,35859,8404.8594,10.50599786,0.235945763,370,32.6172,5.895979651,0.091563153,20.14414414,7.106629392,2.928764967,0.402877145,8.63248292,2.589487304,2.13914277,0.292655442,97.782,37.2740466,4.562498679,0.413951897,590,176.4294,6.374858464,0.334869926,582.74,175.228494,6.355748262,0.329048621,120.41,45.7263492,4.771859112,0.410845422,842,259.455,6.722277997,0.326757136,229980,87725.442,12.28901697,0.406974881,390,75.6126,5.93326671,0.204669472,73.351,21.5762778,4.325694205,0.340503495,184,56.3388,5.22653848,0.337942518,185.35,53.714598,5.259818159,0.296748916,95.256,25.2768474,4.571163985,0.306786922,490,117.1254,6.200096996,0.255168706,68755,19076.6142,11.15579896,0.289155897,370,32.6172,5.89597938,0.091566094,3.347058824,1.207774469,1.148319984,0.359600171,3.135141093,1.076500215,1.095930103,0.330595685,1.8541,0.31090122,0.647786554,0.182320349,9,2.9652,2.237164675,0.304488046,8.9761,2.23412994,2.238500074,0.302370321,2.3291,0.40267416,0.874662271,0.177726796,16,2.9652,2.80781994,0.233478945,3420,985.929,8.170959972,0.323671107,389,75.6126,5.932459513,0.204417756,2.278,0.51624132,0.834249709,0.223775515,7,1.4826,2.025355695,0.326955495,7.3292,1.67177976,2.043494018,0.312970575,2.8049,0.65189922,1.047250465,0.230029515,16,2.9652,2.794214099,0.27976651,2607,658.2744,7.927439721,0.32741701,366,31.1346,5.883945506,0.095326995,1.2,0.12708,0.21180898,0.149495406,1.194527021,0.111276261,0.195006056,0.11685218
3,C5,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+ctrl,Hoechst,Smad23,,MG132+CHX,0.672240803,402,135.535,53.7427674,4.960506243,0.372826689,816.5,170.12835,6.737231995,0.211236923,814.24,155.287524,6.731234393,0.191110597,167.55,63.314433,5.170682453,0.366004647,1265,292.0722,7.162605548,0.202375172,321360,41208.867,12.68234502,0.12436402,398,63.7518,5.951109121,0.194076716,87.6405,12.4175163,4.489826589,0.156031577,46,16.3086,3.860417527,0.35374422,100.001,18.8549655,4.628223931,0.195035734,112.67,11.586519,4.746778989,0.137245474,447,2.9652,6.142896973,0.18442501,37028,8250.669,10.53311027,0.228300423,371.5,27.4281,5.90488623,0.086196969,18.99090909,7.389466667,2.876814468,0.394484219,8.3745551,2.416564583,2.103010462,0.295939804,94.444,37.9071168,4.52615378,0.418258881,609,189.7728,6.363167847,0.345349665,595.96,178.675539,6.347072047,0.336513798,117.135,46.7293281,4.735934829,0.413302812,849.5,260.9376,6.713661458,0.328614793,236480,82721.667,12.29818306,0.40221255,398,63.7518,5.951109121,0.194076716,72.776,21.6029646,4.295946869,0.37750496,187,54.8562,5.229478152,0.392180321,192.26,50.964375,5.261365341,0.345873589,94.6625,26.2457265,4.545001879,0.340633664,499,120.0906,6.189171479,0.272060538,71332,17098.8258,11.16609643,0.342940235,371.5,27.4281,5.904730732,0.086536567,3.204494949,1.175274447,1.133689696,0.355048643,3.101194515,0.967921661,1.085706707,0.333413942,1.8856,0.32795112,0.662254133,0.173990248,9,2.2239,2.221727989,0.256738716,9.14965,2.20062318,2.226138286,0.251336402,2.37475,0.40260003,0.888286091,0.168487269,16,2.9652,2.809484687,0.204600142,3548.5,845.8233,8.17676539,0.260006262,398,63.7518,5.95062654,0.193873239,2.2805,0.46872399,0.835605624,0.22512289,7,1.4826,2.017695699,0.272084387,7.3497,1.46769987,2.033368125,0.256465674,2.8033,0.56027454,1.047093144,0.218564256,16,2.9652,2.777871548,0.230104847,2689.5,604.9008,7.927249786,0.263795986,368,28.9107,5.893881865,0.09084128,1.2,0.12708,0.204032289,0.13886336,1.205151338,0.119997253,0.19277016,0.104031674
4,C6,MALME3M,DAPI,FITC,TRITC,1,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+TGFB3,Hoechst,Smad23,,MG132+CHX,0.60034904,344,137.69,48.540324,4.96778493,0.379735248,823.25,167.5338,6.735318114,0.214049772,827.61,152.670735,6.728925942,0.19274695,173.755,61.45377,5.175642409,0.369670856,1275.5,263.1615,7.155793613,0.199510987,308740,35789.964,12.64902256,0.120778401,386.5,71.9061,5.920095256,0.206550838,89.325,13.758528,4.49815536,0.156260695,45.25,15.19665,3.864280973,0.353348839,100.805,19.518429,4.637078917,0.193245465,114.265,11.56428,4.753658146,0.13441718,447,2.9652,6.147780662,0.18498065,36172,7644.2856,10.52851677,0.231166169,366,29.652,5.891438201,0.091741931,18.49081602,8.189719111,2.87103714,0.417794042,8.227659148,2.510106932,2.091847025,0.305680781,99.4645,40.7766891,4.565265381,0.470610905,614.25,180.8772,6.367977042,0.444495588,605.33,180.536202,6.351547963,0.428895013,122.295,49.9880829,4.772374188,0.470191514,868.5,260.1963,6.723313389,0.402537114,236510,85249.5,12.27155706,0.494807247,386.5,71.9061,5.920007038,0.206562463,72.6615,19.355343,4.290052297,0.426821887,178,48.9258,5.182518759,0.397515276,184.995,41.579517,5.228253365,0.371374777,94.3675,25.5785565,4.538574855,0.407494016,488,124.5384,6.175549075,0.35635032,67363,15906.8154,11.11882541,0.377741,366,29.652,5.890572267,0.093258387,3.47672144,1.174328046,1.185458283,0.355824703,3.24810521,0.908228769,1.123294598,0.308595103,1.8441,0.26516301,0.632460729,0.156940856,9,2.9652,2.30590148,0.398989653,9.24785,2.9222046,2.31361993,0.391659627,2.3017,0.34944882,0.858471029,0.154213247,17,4.4478,2.853492156,0.284587817,3570.5,1210.5429,8.232588212,0.401416278,386.5,71.9061,5.918967535,0.206058459,2.2122,0.46145925,0.815516133,0.22265638,8,2.9652,2.126839428,0.426963713,7.7807,2.51219157,2.135555597,0.418906184,2.73565,0.53158623,1.027127445,0.212075519,16,4.4478,2.813569574,0.288946865,2764,953.3118,8.013428471,0.42953708,361,31.8759,5.877872647,0.095792388,1.166666667,0.12355,0.179062053,0.130107246,1.177566568,0.113241051,0.178064333,0.11175246
5,C7,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+ctrl,Hoechst,Smad23,,MG132+CHX,0.631578947,360,135.705,44.25561,4.942505024,0.361207975,828.75,170.86965,6.74441637,0.215572159,834.33,158.660439,6.73876182,0.196906626,166.265,53.684946,5.151427706,0.35421074,1272,250.5594,7.155408787,0.20132382,316565,42921.27,12.67168199,0.127569708,390.5,71.9061,5.932918208,0.203957597,93.2675,16.8608685,4.547789621,0.185304267,49,20.7564,3.981874259,0.444843226,109.29,27.3206115,4.713371113,0.236333321,118.88,15.189237,4.794686776,0.15884642,448,5.1891,6.174844374,0.185349024,39988,12072.8118,10.61411134,0.272202704,370,32.6172,5.900739664,0.091213415,16.69505495,9.066210993,2.762542112,0.492951492,7.587207984,2.617230434,2.025390707,0.329666348,54.981,17.0995671,4.006553771,0.358248658,422,108.9711,6.04516025,0.321732758,419.765,104.337975,6.034886718,0.315736683,68.467,21.2716035,4.220879552,0.351027843,587.5,144.5535,6.370444119,0.286498401,161220,43603.266,11.96780665,0.326762866,390.5,71.9061,5.932918208,0.203957597,68.1325,29.4503664,4.232761083,0.431901458,211,58.5627,5.382373697,0.351335724,204.025,58.41444,5.344046824,0.329895134,83.771,32.676504,4.43696337,0.402572316,396.5,100.0755,6.019532816,0.295821249,76311.5,20135.1906,11.24475534,0.3161771,370,32.6172,5.90070662,0.091244284,1.953151177,0.381970276,0.662786553,0.22175263,2.01779896,0.428189977,0.690839895,0.225461013,1.91175,0.40860456,0.668080825,0.193528546,9,2.9652,2.317329343,0.495460363,8.9043,2.71182366,2.319867991,0.493202699,2.39065,0.50667855,0.895018729,0.188040258,16,4.4478,2.870986747,0.376431333,3522,1167.5475,8.251828632,0.494481953,389.5,71.9061,5.931961145,0.203716622,2.2795,0.5500446,0.835782537,0.228983916,7,1.4826,2.141531876,0.527626575,7.4903,2.25488634,2.155270924,0.519611406,2.8115,0.67072824,1.048453632,0.222288907,15,4.4478,2.842394871,0.390208163,2721.5,840.6342,8.043784089,0.522872173,365.5,33.3585,5.88851285,0.093845001,1.166666667,0.12355,0.175797467,0.119777562,1.17000489,0.11561095,0.164597067,0.096413337
6,C8,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+BMP4,Hoechst,Smad23,,MG132+CHX,0.669064748,372,144.08,44.300088,4.984386753,0.324499994,822.5,158.26755,6.739589685,0.193113285,821.46,141.610539,6.73362052,0.173506382,177.645,55.345458,5.193061997,0.318694789,1278,243.1464,7.166724876,0.182788986,319775,42179.97,12.68092369,0.124348779,401,63.7518,5.947302918,0.191499023,88.4045,13.2744591,4.486298633,0.169441043,45.25,15.93795,3.891730613,0.421005468,100.805,21.7482594,4.649057064,0.230055114,112.685,11.808909,4.744036224,0.150755549,447,2.9652,6.151407776,0.198377695,37527,9203.2395,10.55560488,0.261346364,373,31.1346,5.906547493,0.085935656,18.66178829,8.54966,2.847859072,0.470372171,8.053031504,2.632085667,2.084563456,0.319692036,55.314,20.2278531,3.987647825,0.366407955,412,123.0558,6.013874419,0.298001965,407.24,121.929024,6.002893359,0.294325153,68.272,25.2464541,4.202191303,0.36299143,574.5,163.8273,6.339248914,0.288143557,156265,46145.925,11.95019933,0.321466116,401,63.7518,5.947302918,0.191499023,66.7205,26.7794625,4.215113054,0.44501558,214.25,55.5975,5.368619281,0.33714507,201.99,50.979201,5.327491689,0.3275623,82.19,28.132335,4.419770011,0.406672036,392,80.8017,6.004159119,0.291650431,76297,18417.5985,11.23400175,0.324900501,373,31.1346,5.906510878,0.086034625,1.905622518,0.449618322,0.645255139,0.256653887,1.94533993,0.469198152,0.67540167,0.247056728,1.8405,0.29214633,0.651895902,0.203519249,9,2.9652,2.318952306,0.557059243,8.9068,2.57520207,2.318305279,0.556986101,2.32305,0.39755919,0.87964793,0.19988406,16,4.4478,2.874997862,0.433924033,3438.5,1011.8745,8.264476972,0.563617032,399,65.2344,5.946172334,0.191357697,2.22695,0.47895393,0.835594585,0.241286505,7,1.4826,2.14175408,0.601187967,7.2945,2.06770809,2.153229622,0.593649961,2.7819,0.58258767,1.050586439,0.236473206,16,4.4478,2.861154504,0.451933276,2685.5,777.6237,8.047348022,0.602553082,367,31.1346,5.894118184,0.089224649,1.166666667,0.12355,0.177198226,0.135447142,1.164508979,0.117567464,0.165075656,0.112276354
7,C9,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+ctrl,Hoechst,Smad23,,MG132+CHX,0.626570916,349,148.09,40.667718,4.998953659,0.305367955,854.5,144.5535,6.757016923,0.175422176,854.28,131.328708,6.755026669,0.161201956,181.97,50.067402,5.210517327,0.298354072,1334,222.39,7.197935899,0.172032609,329560,45323.082,12.70659949,0.132756062,395,65.2344,5.951572382,0.192459929,90.863,14.2581642,4.510590284,0.162691047,45.5,15.5673,3.870178651,0.376789859,103.07,20.993616,4.649400881,0.20650473,115.58,13.373052,4.766506059,0.135161895,448,4.4478,6.154507833,0.151048733,37895,8855.5698,10.55489248,0.234935637,372,26.6868,5.905491598,0.085319003,19.47413793,7.945543103,2.886838272,0.413804973,8.369103472,2.317007521,2.105625788,0.282617087,95.006,36.2777394,4.532603353,0.402077611,580.5,166.7925,6.34807629,0.334840304,570.05,160.239408,6.331998488,0.326357995,117.9,45.827166,4.742682905,0.398836088,822,228.3204,6.705417875,0.312921266,226300,66583.566,12.28357219,0.388036284,395,65.2344,5.951572382,0.192459929,71.369,24.1678626,4.286023002,0.380049432,179,47.4432,5.207933531,0.335280176,183.75,44.151828,5.237598734,0.306158116,92.639,27.5526384,4.532283974,0.348899739,478,123.0558,6.168936719,0.284455389,68763,16533.9552,11.14307477,0.294696255,372,26.6868,5.905474403,0.085339489,3.291139241,1.115947647,1.140142759,0.335905092,3.111747127,0.939354213,1.094399754,0.297688733,1.8517,0.3269133,0.6476779,0.184846019,9,2.9652,2.215567923,0.335758656,8.7029,2.1771981,2.21664582,0.335659206,2.3234,0.43766352,0.873933575,0.181847345,16,2.9652,2.797042113,0.272487696,3389,821.3604,8.167593959,0.34291775,395,63.7518,5.950946906,0.192237947,2.1957,0.46731552,0.818085351,0.231826567,7,1.4826,2.008963522,0.350874332,7.057,1.70780694,2.020486828,0.346054174,2.7031,0.54678288,1.03250057,0.234903183,15,2.9652,2.771361402,0.301834612,2503,600.453,7.914791719,0.35334651,368,26.6868,5.894305311,0.087088579,1.166666667,0.12355,0.206604401,0.153653523,1.195804588,0.118161509,0.196158992,0.1240264
8,C10,MALME3M,DAPI,FITC,TRITC,2,RPMI+5%FBS,RPMI+5%FBS,1,120,TGFB3+BMP4,Hoechst,Smad23,,MG132+CHX,0.667844523,378,141.1,48.080718,4.986753088,0.368511891,836.5,165.68055,6.747772026,0.215855021,832.145,157.08147,6.740656043,0.192347398,176.435,58.955589,5.195895524,0.359879524,1282.5,258.7137,7.167862131,0.19453254,314250,41750.016,12.67118458,0.134107097,393,74.13,5.930527799,0.208744749,87.735,13.402704,4.493172654,0.156344605,45.5,16.67925,3.867159867,0.37248082,100.795,20.741574,4.634121177,0.200885589,112.23,11.1195,4.748212585,0.133592098,447,2.9652,6.14655279,0.183168757,36775.5,9193.6026,10.53133043,0.236842879,370,32.6172,5.897208998,0.092888992,18.6683114,8.044718984,2.880612159,0.42892295,8.457760358,2.687199482,2.106534867,0.308151568,97.3295,39.5179617,4.556199944,0.398626845,604,185.325,6.380183678,0.305984611,589.535,170.839998,6.362199933,0.299313293,119.295,47.413548,4.764358029,0.394634818,855.5,246.8529,6.727842901,0.306526214,231840,85049.349,12.29273117,0.379134042,393,74.13,5.930527799,0.208744749,72.849,23.6459874,4.315914505,0.36433246,185.25,48.9258,5.241991088,0.30440627,192.88,47.539569,5.275242861,0.288351927,94.1535,26.1330489,4.559764406,0.336718106,499.5,129.7275,6.204274584,0.275301097,70620.5,18761.5617,11.17243952,0.277351543,370,32.6172,5.897195003,0.09288327,3.247543515,1.200240276,1.13819259,0.340990193,3.048306731,0.991305476,1.086957072,0.31058496,1.8654,0.32379984,0.655734244,0.181332821,9,1.4826,2.197095824,0.268539808,8.6042,1.86540732,2.202162553,0.268683948,2.33665,0.40052439,0.880789128,0.177521642,16,2.9652,2.79385755,0.224680958,3306.5,837.669,8.131895317,0.299164635,392.5,74.8713,5.92973283,0.208539413,2.2172,0.45708558,0.830510145,0.230352742,7,1.4826,2.000686522,0.281384854,7.1456,1.5915711,2.015570884,0.272409163,2.73075,0.56427756,1.044919868,0.232811414,15,2.9652,2.766133997,0.266237792,2609,605.6421,7.901113279,0.283673978,366,34.0998,5.885542152,0.096450199,1.166666667,0.155841477,0.196409302,0.14105598,1.198476679,0.121139961,0.186591669,0.117069424
9,C11,MALME3M,DAPI,FITC,TRITC,3,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+ctrl,Hoechst,pSmad158,,MG132+CHX,0.647058824,352,137.8,43.076943,4.975642293,0.333886629,850.25,163.45665,6.750702218,0.196660932,852.915,157.422468,6.748203125,0.180959697,169.63,52.6323,5.182959409,0.326004783,1294.5,248.3355,7.177660988,0.187001206,321010,45256.365,12.68156916,0.131919828,392,69.6822,5.933364624,0.193362627,96.2565,20.0996082,4.560061488,0.204200481,48,18.5325,3.920762993,0.384754464,109.45,25.4910831,4.696007789,0.23425078,124.505,20.363511,4.810845836,0.181922129,507,10.3782,6.191926616,0.206597148,39640,10492.3602,10.59493425,0.257347386,369.5,30.3933,5.898927264,0.08603527,17.7989899,7.617011795,2.829939226,0.4130633,7.745214209,2.341935055,2.052195336,0.293589689,121.96,48.5262393,4.746176912,0.462694533,437.5,146.0361,6.044512743,0.423349564,446.675,146.33262,6.052809361,0.413108901,149.22,57.495228,4.951820866,0.451605284,913,313.5699,6.768425977,0.408413452,167805,48607.041,11.9861759,0.424196518,392,69.6822,5.933364624,0.193362627,40.7775,12.6361998,3.703844133,0.352696793,87,25.2042,4.443781504,0.317682464,94.29,27.0433653,4.534143613,0.309521753,52.751,16.0031844,3.9699454,0.352830786,309.5,95.6277,5.726314913,0.363487111,34798.5,9553.8744,10.43298922,0.321817203,369.5,30.3933,5.898846504,0.086169883,4.961370418,1.133754778,1.600731239,0.257566083,4.624703309,0.95566975,1.518665747,0.252065186,1.87665,0.34136865,0.653792281,0.18685803,9,2.9652,2.216518382,0.293771862,8.97275,2.2995126,2.22103061,0.290051026,2.3691,0.42824901,0.879427352,0.18654173,16,2.9652,2.796766218,0.239852994,3419.5,830.9973,8.153720703,0.307597777,392,69.6822,5.932690141,0.193880274,2.3036,0.49845012,0.846974529,0.232417379,7,1.4826,2.036206141,0.290506707,7.5199,1.7509506,2.051302415,0.282585127,2.8261,0.56590842,1.06080121,0.242545212,16,2.9652,2.785962013,0.261718776,2713.5,647.8962,7.940353619,0.295024849,366,31.1346,5.889050861,0.089594744,1.166666667,0.12355,0.180312241,0.154923868,1.161201119,0.106924353,0.169728195,0.126216389
10,C12,MALME3M,DAPI,FITC,TRITC,3,RPMI+5%FBS,RPMI+5%FBS,1,120,ctrl+BMP4,Hoechst,pSmad158,,MG132+CHX,0.622395833,239,148.05,63.944538,5.045493697,0.419106162,884,209.0466,6.811833611,0.242060969,887.65,191.47779,6.804266883,0.216705391,182.04,75.01956,5.250084019,0.406121313,1357,314.3112,7.224586988,0.216009906,309490,51668.61,12.64987684,0.143860332,361,80.0604,5.845609666,0.214018436,102.27,17.331594,4.638202417,0.165895841,55.5,25.2042,4.089075858,0.451345056,120.27,26.375454,4.803991635,0.236292475,130.91,15.819342,4.873379408,0.132816072,511,4.4478,6.235147768,0.158328459,43047,11289.999,10.66677747,0.264688093,358,35.5824,5.862786182,0.095733984,16.2601626,7.537081779,2.722757753,0.494665227,7.371803532,2.432647701,2.000275248,0.334377942,135.66,62.076462,4.823427623,0.752104626,521,195.7032,6.148831443,0.747984765,530,188.038158,6.156900813,0.734697074,167.75,73.700046,5.029919165,0.729566121,1049,400.302,6.834872085,0.656976254,190360,59066.784,12.00240764,0.75459182,361,80.0604,5.845505319,0.213945801,51.42,15.8608548,3.886989918,0.595489733,111,28.9107,4.594587963,0.634101518,122.6,32.824764,4.703378303,0.599620704,67.974,21.6518904,4.155119674,0.574717355,400,123.0558,5.899179652,0.529763277,43060,11347.8204,10.56465407,0.615370828,357,37.065,5.861275994,0.096266267,4.785365854,1.131255295,1.55424348,0.301642987,4.352437829,1.024031137,1.45352251,0.282357053,1.9594,0.415128,0.71091176,0.213530951,10,2.9652,2.364833659,0.386465891,10.293,3.4596471,2.37030945,0.379639472,2.4525,0.5122383,0.940736432,0.210382346,18,4.4478,2.918634483,0.295027099,3541,1113.4326,8.215471331,0.383677983,361,80.0604,5.845159447,0.214019721,2.4763,0.63929712,0.922889373,0.277383475,8,2.9652,2.168060145,0.395876636,8.3253,2.50144272,2.18216154,0.387536737,3.0616,0.75375384,1.137160465,0.267994933,17,4.4478,2.89539721,0.304598695,2854,770.952,8.036866785,0.395552598,354,37.065,5.854704782,0.098700079,1.166666667,0.146013636,0.196773514,0.175740849,1.181188342,0.135673164,0.18814791,0.151813227
