#wells,B4
#channel,2
#pathname,Z:/DATA/201112/20111205/201112051201_HCEC+LRHCL+TapYFP_Hoechst_subtracted/B4
#halo_size,8
#nuclear_channel,1
#segment_params.inequalities,Area<3000 Area>200 Solidity>.90 
#segment_params.threshold,800
mad_nucleus,median_nucleus,mean_nucleus,std_nucleus,max_nucleus,sum_nucleus,length_nucleus,mad_halo,median_halo,mean_halo,std_halo,max_halo,sum_halo,length_halo
15.412,401,400.04,19.369,459,6.3846e+005,1596,13.584,372,372.47,16.841,427,4.7081e+005,1264
13.139,386,386.92,16.761,449,3.2656e+005,844,12.337,368,369.06,15.591,420,3.5209e+005,954
16.14,404,401.86,20.167,461,2.4996e+005,622,13.9,372,373.03,17.608,446,3.1297e+005,839
410.8,1848,1751.9,479.68,2431,9.4426e+005,539,193.42,472,587.41,248.97,1608,4.7052e+005,801
12.977,380,380.98,16.379,429,2.2859e+005,600,13.569,364,365.37,16.995,418,3.0033e+005,822
479.91,1703,1656.1,557.31,2634,1.5501e+006,936,139.55,432,516.7,189.36,1364,5.1929e+005,1005
15.23,380,381.47,18.888,433,1.9341e+005,507,12.883,357,357.08,16.256,418,2.7531e+005,771
14.822,405,403.86,18.304,456,2.3989e+005,594,13.595,376,377.13,17.103,442,3.1189e+005,827
397.61,1619,1513.2,460.61,2161,1.3588e+006,898,164.88,421,522.98,216.73,1331,5.1514e+005,985
225.46,1281,1221.6,264.13,1734,8.6365e+005,707,129.42,456,521.29,163.34,1132,4.676e+005,897
13.109,385,385.1,16.477,437,3.385e+005,879,12.223,376,376.99,15.601,442,3.8642e+005,1025
15.918,396,397.66,19.601,464,1.8928e+005,476,12.895,374,375.25,16.426,420,2.8144e+005,750
14.131,395,395.25,17.687,445,2.1383e+005,541,13.287,372,372.92,16.566,432,2.9573e+005,793
16.852,399,400.45,20.489,454,1.9782e+005,494,13.452,375,376.12,16.805,429,2.8698e+005,763
17.736,406,404.81,22.127,466,1.8743e+005,463,14.183,372,372.33,17.849,439,2.8334e+005,761
14.663,411,410.05,18.113,469,3.4649e+005,845,13.412,380,380.67,16.806,428,3.6469e+005,958
20.557,388,388.1,25.409,467,4.5407e+005,1170,13.915,353,354.53,17.615,443,4.0522e+005,1143
14.313,391,390.84,17.703,444,4.1273e+005,1056,13.351,372,371.63,16.782,424,3.8464e+005,1035
326.13,1370,1309.2,373.57,1938,1.1037e+006,843,104.94,430,487.1,139.28,1006,4.5933e+005,943
15.703,404,403.83,19.519,464,2.1928e+005,543,13.524,381,381.12,17.084,462,3.0032e+005,788
14.529,382,381.31,18.086,448,2.1277e+005,558,12.962,357,357.48,16.097,407,2.9135e+005,815
310.33,2433.5,2349.1,408.89,3028,3.4296e+006,1460,358.46,663,832.5,440.86,2336,1.0348e+006,1243
380.75,1973,1844.3,456.69,2526,1.3353e+006,724,248.96,504,641.9,315.67,1714,5.8157e+005,906
15.106,387,386.91,19.111,442,2.1126e+005,546,14.189,360,360.19,17.707,419,2.8887e+005,802
14.501,383,383.9,18.056,435,2.1345e+005,556,13.268,361.5,362.5,16.668,424,2.8638e+005,790
14.211,386,386.52,17.854,460,2.1143e+005,547,13.539,362,362.74,16.984,413,2.9128e+005,803
13.602,376,376.55,17.163,429,2.2631e+005,601,11.868,357,357.02,14.831,406,2.9418e+005,824
19.831,422.5,422.5,24.584,494,3.0251e+005,716,15.69,376,378.07,19.847,448,3.327e+005,880
354.32,1640,1528.5,411.55,2102,8.2996e+005,543,190.35,469.5,565.84,243.93,1410,4.4249e+005,782
434.42,1535.5,1553.7,510.88,2492,7.7995e+005,502,166.94,461,547.15,215.37,1342,4.2405e+005,775
15.426,385,386.24,19.301,442,2.2093e+005,572,13.624,364,364.14,17.173,423,3.0078e+005,826
14.826,383,383.15,18.628,440,2.1686e+005,566,13.228,360,360.25,16.357,404,2.8964e+005,804
14.808,388,387.87,18.55,437,2.1178e+005,546,12.555,363,362.77,15.617,409,2.8731e+005,792
16.819,393,393.39,20.944,453,1.9316e+005,491,13.155,364,364.77,16.594,437,2.7686e+005,759
17.009,401,401.07,21.321,472,3.1083e+005,775,13.637,370,370.38,17.267,429,3.389e+005,915
12.903,365,365.29,16.066,420,4.4346e+005,1214,12.087,350,350.41,15.07,396,3.9035e+005,1114
13.935,384,384.46,17.169,429,1.9684e+005,512,11.901,362,361.32,14.974,403,2.7858e+005,771
15.241,387,387.94,18.763,454,1.9436e+005,501,12.953,359,359.34,16.293,417,2.7957e+005,778
16.728,405,405.16,21.354,460,2.0055e+005,495,15.712,376,377.14,19.809,446,2.87e+005,761
452.04,1955.5,1743.8,567.29,2595,1.2451e+006,714,178.43,404,512.16,284.25,1913,4.594e+005,897
16.046,405,405.11,19.929,463,1.9688e+005,486,15.378,374,375.13,19.357,438,3.0048e+005,801
15.828,400,400.01,19.953,474,2.7161e+005,679,13.551,369,371.06,17.146,426,3.3395e+005,900
16.469,397,396.57,20.405,457,2.0344e+005,513,14.08,372,372.57,18.063,433,2.9322e+005,787
15.376,397,396.53,19.676,492,2.1809e+005,550,14.392,370,371.15,18.165,430,3.0063e+005,810
17.805,419,418.66,22.487,495,5.5765e+005,1332,15.497,377,378.08,19.479,440,4.7222e+005,1249
78.488,450,467.95,91.614,696,2.5644e+005,548,24.759,359,365.8,35.485,548,2.9338e+005,802
13.653,388,388.88,17.089,442,3.2277e+005,830,12.116,377,376.89,15.381,436,3.9235e+005,1041
17.219,395,395.02,21.415,448,2.5519e+005,646,14.864,370,370.26,18.588,432,3.1584e+005,853
14.026,384.5,385.49,17.635,444,4.2327e+005,1098,13.535,366,365.88,17.073,413,3.904e+005,1067
13.761,399,399.48,17.317,451,2.5128e+005,629,14.289,381,382,17.453,435,3.2241e+005,844
15.484,400,399.16,19.336,443,2.6305e+005,659,13.444,373,373.28,16.938,440,3.2438e+005,869
124.54,870,822.29,162.43,1124,6.4632e+005,786,57.951,385,415.85,92.734,864,3.8425e+005,924
577.12,2524,2322.9,732.08,3359,1.3403e+006,577,262.7,432,597.29,407.03,2577,4.9037e+005,821
16.134,393,392.38,20.386,455,3.453e+005,880,13.494,362,363.8,16.803,419,3.5071e+005,964
15.713,387,386.65,19.666,444,2.3083e+005,597,14.602,364,365.08,18.169,417,2.979e+005,816
946.18,2382.5,2339,1084.2,4293,8.8882e+005,380,151.24,415,501.85,260.44,2315,3.5631e+005,710
489.69,2119,1882.5,615.03,2733,1.3685e+006,727,255.48,389,546.66,379.71,2167,4.8872e+005,894
796.41,3694,3302.3,1036.2,5008,4.577e+006,1386,388.73,434.5,685.24,580.36,3388,7.9899e+005,1166
413.27,2004,1823.5,536.83,2621,1.7707e+006,971,246.78,399,556.63,353.23,2015,5.6498e+005,1015
393.76,1375,1220.7,451.92,1967,5.2366e+005,429,172.44,393,499.4,241.28,1453,3.8105e+005,763
101.8,770,734.83,132.64,974,4.2841e+005,583,52.891,380,407.66,81.332,798,3.3877e+005,831
14.452,396,396.37,17.827,455,3.3573e+005,847,13.644,372,373.04,17.222,438,3.5625e+005,955
524.18,2402,2139.5,667.2,3029,2.3042e+006,1077,230.04,419,561.09,356.24,2190,5.9475e+005,1060
120.56,822.5,765.73,150.57,990,4.0584e+005,530,50.398,379,404.67,82.452,898,3.2009e+005,791
403.31,1803,1611.4,500.39,2424,1.0603e+006,658,149.74,391,481.07,239.21,1622,4.1468e+005,862
16.581,400,399.03,20.658,459,3.1044e+005,778,13.879,368,368.51,17.793,432,3.4935e+005,948
1040.5,1764,2209.1,1290.3,6168,2.0302e+006,919,114.12,440,500.38,170.7,1424,5.0938e+005,1018
272.54,1532,1410.7,358.17,1890,1.2908e+006,915,150.84,386,477.1,222.57,1371,4.6184e+005,968
688.14,2451,2210,816.03,3700,1.3724e+006,621,132.08,418.5,493.01,213.46,1616,4.2497e+005,862
309.48,1706,1583.1,417.36,2278,1.7224e+006,1088,217.89,382,519.74,309.74,1903,5.4157e+005,1042
843.13,1471,1793.3,1049,4691,1.275e+006,711,118.7,414,477.72,203.37,1810,4.5144e+005,945
486.44,1799,1688.6,569.1,2657,6.6025e+005,391,123.85,401,473.17,198.5,1711,3.2838e+005,694
15.379,374,372.98,19.329,432,2.9577e+005,793,14.653,344,346.01,18.198,412,3.1972e+005,924
524.47,2353,2086.7,652.48,2939,1.2938e+006,620,367.87,392,631.63,512.99,2635,5.3057e+005,840
530.93,2126,1891.5,625.06,2918,7.3581e+005,389,166.73,414,510.69,276.67,2067,3.774e+005,739
14.008,378,378.5,17.462,430,4.1787e+005,1104,13.931,362,362.2,17.538,426,3.8901e+005,1074
19.335,401,401.42,23.82,457,1.8064e+005,450,16.391,372,374.31,20.377,437,2.6314e+005,703
525.98,2041,1821.3,623.45,2664,8.3232e+005,457,180.1,413,522.9,277.64,1951,3.9845e+005,762
392.51,1752,1601.2,484.72,2286,7.894e+005,493,164.28,403,503.73,245.11,1774,3.8283e+005,760
15.137,403,402.95,19.069,453,2.0067e+005,498,14.334,375,374.77,17.944,432,2.8595e+005,763
25.598,425,419.93,31.771,499,2.2172e+005,528,18.359,368,370.8,23.736,458,2.8774e+005,776
20.253,405,402.78,25.59,465,4.0238e+005,999,15.846,359,361.07,20.458,455,3.6613e+005,1014
14.356,370,369.43,18.037,424,3.3655e+005,911,16.091,355,357.06,20.637,444,3.7956e+005,1063
263.44,1629,1500.9,351.57,1924,1.2517e+006,834,170.68,404,510.73,254.07,1852,5.0868e+005,996
500.45,1524,1425.2,567.45,2309,7.6392e+005,536,154.34,384,481.41,225.5,1549,3.8079e+005,791
18.059,389,388.91,22.182,444,2.2907e+005,589,14.982,352,353.62,19.086,424,2.8997e+005,820
960.13,1618.5,1894,1142.3,4865,1.3788e+006,728,224.54,413,551.93,331.22,2154,4.857e+005,880
15.443,360,359.36,19.14,423,1.7429e+005,485,12.452,336,336.94,15.727,386,2.5809e+005,766
17.432,408,406.98,21.618,465,2.1e+005,516,14.267,373,373.71,18.273,442,2.8701e+005,768
11.526,354,354.53,14.63,408,2.6909e+005,759,12.178,342,342.55,15.129,396,3.1515e+005,920
16.201,388,387.54,20.241,445,2.3252e+005,600,14.024,361,362.54,17.653,419,3.0453e+005,840
17.532,408,407.22,22.746,492,3.4247e+005,841,16.615,373,374.34,20.735,435,3.5263e+005,942
15.884,407,407.44,19.985,478,2.3998e+005,589,15.131,380,381.3,18.932,443,3.1152e+005,817
16.525,385,385.43,21.01,445,2.2008e+005,571,13.355,354,355.42,17.265,414,2.8789e+005,810
15.212,401,399.88,18.975,467,4.5627e+005,1141,13.96,371,371.68,17.317,424,4.3561e+005,1172
585.34,1763,1652.7,682.89,2907,6.1978e+005,375,180.98,401,510.6,273.07,1936,3.9776e+005,779
15.984,378,377.91,19.891,437,2.3166e+005,613,14.279,352,352.78,18.026,433,2.9351e+005,832
14.98,409,407.57,19.048,458,3.2321e+005,793,14.237,375.5,376.8,18.138,454,3.4741e+005,922
463.75,2090,1914.2,578.01,2710,1.4644e+006,765,173.78,411,517.54,280.6,2114,4.6578e+005,900
15.237,396,396.3,18.69,458,2.5244e+005,637,14.067,367,367.49,17.609,435,3.1641e+005,861
16.534,381,381.42,20.351,435,1.8652e+005,489,13.803,352,352.85,17.438,411,2.6887e+005,762
211.33,1214,1116.6,264.35,1559,1.1144e+006,998,111.75,385,451.8,170.66,1299,4.8027e+005,1063
405.89,1746,1540.9,497.16,2213,9.9077e+005,643,213.5,367,501.64,311.33,1824,4.2589e+005,849
18.823,408,406.09,23.789,512,4.7594e+005,1172,18.032,360,363.17,23.35,479,3.8787e+005,1068
28.641,439,438.5,35.287,532,2.7056e+005,617,16.175,368,370.31,21.195,448,3.0921e+005,835
14.31,401,400.83,17.731,458,8.3252e+005,2077,13.662,379,378,17.048,430,5.447e+005,1441
17.092,389,389.23,20.758,452,1.6309e+005,419,14.055,355,356.05,17.948,424,2.592e+005,728
27.057,429,429.09,34.41,538,2.596e+005,605,19.64,373,377.12,25.386,484,3.1226e+005,828
14.944,397,397.48,18.708,458,6.8565e+005,1725,14.401,368,368.06,17.828,431,4.851e+005,1318
185.32,1184,1106,240.55,1456,1.0972e+006,992,104.58,389,451.79,142.68,1078,5.0555e+005,1119
338.66,1395,1270,406.2,1826,7.8613e+005,619,134.2,384,465.25,201.17,1351,3.9174e+005,842
14.934,404,402.64,18.795,466,3.0198e+005,750,13.615,370,370.65,17.619,450,3.321e+005,896
19.309,389,388.33,24.077,472,2.4077e+005,620,24.095,366,365.35,28.197,441,3.3613e+005,920
12.404,382,382.15,15.735,440,3.2712e+005,856,12.421,367,366.71,15.684,418,3.5937e+005,980
26.037,405,402.76,32.155,502,1.4378e+005,357,17.79,354,356.09,21.903,429,2.457e+005,690
378.36,2090,1953.5,500.07,2767,1.471e+006,753,286.1,409,595.09,409.89,2276,5.3915e+005,906
17.575,402,400.97,21.706,471,3.2439e+005,809,14.013,361,362.68,18.061,462,3.7683e+005,1039
17.408,400,397.74,21.817,462,3.0229e+005,760,15.435,365,366.25,19.281,435,3.3109e+005,904
467.44,1808.5,1628.6,567.24,2672,1.0846e+006,666,131.77,401,478.66,201.9,1348,4.0878e+005,854
441.6,2055,1890.4,545.72,2798,9.2631e+005,490,148.47,416,502.79,237.18,1847,4.0324e+005,802
13.308,373,373.1,16.816,425,2.8356e+005,760,12.738,348,348.5,16.173,413,3.2132e+005,922
77.93,596,572.33,95.917,739,3.0276e+005,529,40.347,333,354.07,57.955,607,2.8573e+005,807
13.8,357.5,357.11,17.253,409,3.1569e+005,884,12.955,334,335.74,16.501,398,3.3574e+005,1000
12.425,371,371.63,15.611,419,2.4788e+005,667,13.561,356,356.69,16.843,408,3.0533e+005,856
582.78,2075,1796.5,679.98,2683,8.7132e+005,485,280.44,405.5,577,425.15,2415,4.6044e+005,798
493.68,2338,2098,614.89,3000,1.3574e+006,647,268.88,413.5,583.66,413.82,2487,4.9962e+005,856
16.595,404,403.62,21.188,475,2.0585e+005,510,14.641,363,363.77,18.46,428,2.8665e+005,788
106.22,644,603.06,124.94,807,2.8163e+005,467,51.204,354,379.92,73.797,718,2.8494e+005,750
964.1,3500,3100.6,1175.7,4822,2.2541e+006,727,347.52,423,637.76,545.4,3168,5.6633e+005,888
18.581,400,398.39,23.141,459,3.231e+005,811,15.087,360,360.55,18.98,418,3.3243e+005,922
13.727,388,388.2,17.019,454,2.3641e+005,609,12.309,371,371.7,15.481,420,3.1149e+005,838
420.44,1832,1626.5,515.68,2473,8.0675e+005,496,238.12,376,527.73,351.71,2070,4.1797e+005,792
12.609,385,385.22,15.814,430,3.0702e+005,797,13.151,376,375.16,16.416,427,3.5378e+005,943
133.28,734,688.44,160.25,978,3.4904e+005,507,58.117,376,407.03,86.433,794,3.2766e+005,805
15.469,405,405.18,19.426,463,3.9262e+005,969,12.811,373,373.35,16.119,428,3.9986e+005,1071
121.31,744.5,698.13,144.83,918,3.4906e+005,500,50.964,387,412.57,76.744,764,3.1974e+005,775
655.04,2253.5,1948.1,759.3,3118,1.3714e+006,704,222.39,401,538.51,338.43,2201,4.9435e+005,918
20.756,434,433.22,26.332,537,4.5271e+005,1045,14.791,377,377.77,19.021,445,3.8684e+005,1024
20.777,440,436.51,26.217,511,4.2604e+005,976,15.052,375,376.56,19.618,473,3.8372e+005,1019
879.97,3086,2629.4,1046,4144,1.5645e+006,595,285.45,393,570.45,456.94,2797,4.6435e+005,814
14.71,406,406.95,18.094,463,3.5201e+005,865,13.63,376,376.4,17.041,431,3.6097e+005,959
815.24,2348.5,2256.6,946.48,3768,1.0245e+006,454,143.33,445,521.52,227.41,1753,3.901e+005,748
15.686,385,384.78,19.851,446,2.9513e+005,767,13.299,353,354.6,17.06,432,3.1843e+005,898
13.678,388,387.46,17.116,436,2.596e+005,670,13.386,362,363.86,16.811,414,3.3039e+005,908
111.66,728.5,697.22,139.97,931,4.3646e+005,626,46.538,372,394.07,68.532,691,3.3654e+005,854
18.565,413,412.03,23.894,493,5.2452e+005,1273,14.006,366,367.25,18.122,438,4.1757e+005,1137
18.457,415,414.09,23.609,484,4.8034e+005,1160,16.299,376.5,377.5,21.437,485,4.0242e+005,1066
574.4,2619,2546.6,721.98,3902,1.7393e+006,683,308.52,494,682.29,457.82,2712,5.9086e+005,866
781.9,2395,2209.3,905.34,3672,9.2571e+005,419,189.36,434,542.61,311.59,2238,3.9882e+005,735
433.93,2035,1856.7,550.26,2645,1.2087e+006,651,145.72,394,480.68,241.76,1861,4.0377e+005,840
81.49,665,648.39,97.117,844,4.3507e+005,671,47.411,404,424.22,60.19,660,3.4531e+005,814
624.73,1860,1835.7,713.62,2968,1.408e+006,767,159.59,437,527.92,218.39,1546,4.8094e+005,911
13.057,379,379.59,16.158,432,2.6609e+005,701,12.913,360,361.46,15.96,415,3.2712e+005,905
14.257,383,383.52,17.729,437,2.2896e+005,597,13.869,362,362.36,17.578,426,2.9858e+005,824
13.426,384,384.76,16.849,435,2.3894e+005,621,13.124,360,359.56,16.323,416,3.0347e+005,844
24.862,460,455.76,30.858,538,5.4327e+005,1192,18.84,367,370.13,23.901,444,4.0529e+005,1095
285.15,1487,1417.2,335.91,1980,7.568e+005,534,145.44,423.5,506.09,185.87,1184,3.9576e+005,782
244.57,1483,1410.6,293.28,1879,8.4495e+005,599,155.18,437,526.63,196.34,1264,4.3395e+005,824
221.96,1117,1068.2,259.62,1492,8.3429e+005,781,82.559,401,446.35,110.66,886,4.0975e+005,918
