#wells,B4
#channel,3
#pathname,Z:/DATA/201112/20111205/201112051201_HCEC+LRHCL+TapYFP_Hoechst_subtracted/B4
#halo_size,8
#nuclear_channel,1
#segment_params.inequalities,Area<3000 Area>200 Solidity>.90 
#segment_params.threshold,800
mad_nucleus,median_nucleus,mean_nucleus,std_nucleus,max_nucleus,sum_nucleus,length_nucleus,mad_halo,median_halo,mean_halo,std_halo,max_halo,sum_halo,length_halo
230,2976,2954.7,288.83,3860,4.7157e+006,1596,395.01,2668,2686.1,493.76,3797,3.3952e+006,1264
146.81,2154.5,2168.1,184.97,2657,1.8299e+006,844,237.26,1801.5,1745.8,300.59,2668,1.6655e+006,954
389.4,3377,3201.3,489.41,3921,1.9912e+006,622,778.76,2370,2081,886.08,3526,1.746e+006,839
142.54,1545,1500.9,197.34,1904,8.0897e+005,539,380.29,1216,1004.5,441.38,1598,8.0459e+005,801
106.41,2199.5,2177.2,133.84,2493,1.3063e+006,600,172,2050,2027.6,217.51,2598,1.6667e+006,822
200.17,1370.5,1310.2,245.72,1728,1.2264e+006,936,327.64,630,652.42,380.51,1507,6.5569e+005,1005
178.83,2056,2008.4,224.32,2469,1.0183e+006,507,496.55,1504,1380.3,566.07,2275,1.0642e+006,771
189.91,2502,2465.5,235.16,2875,1.4645e+006,594,466.36,1760,1648.4,559.48,2557,1.3633e+006,827
259.09,1727.5,1628.6,309.19,2087,1.4625e+006,898,458.23,1405,1241.4,506.27,2012,1.2228e+006,985
65.585,1212,1211.4,81.3,1431,8.5648e+005,707,130.64,1006,997.38,163.89,1390,8.9465e+005,897
93.61,1451,1448.5,130.35,2290,1.2732e+006,879,278.94,1375,1466.7,454.79,3623,1.5034e+006,1025
94.769,1647.5,1647.9,113.67,1989,7.8442e+005,476,196.38,1505,1458,262.18,2067,1.0935e+006,750
149.75,2409,2354.7,210.41,2668,1.2739e+006,541,505.85,2075,1838.9,624.46,2643,1.4582e+006,793
152.86,1749,1706.4,190.84,2081,8.4295e+005,494,308.6,1389,1339.8,370,2067,1.0223e+006,763
389.39,2657,2485.2,493.01,3120,1.1506e+006,463,766.89,1404,1463.7,862.23,3011,1.1139e+006,761
125.55,1990,1980.2,162.43,2410,1.6732e+006,845,338.87,1582,1470.4,417.01,2257,1.4087e+006,958
400.64,966,1033.7,473.17,2039,1.2095e+006,1170,128.19,267,297.82,161.15,916,3.4041e+005,1143
282.45,2677,2609.4,345,3191,2.7556e+006,1056,419.13,1990,1929,502.1,2843,1.9965e+006,1035
143.51,1394,1351.5,185.18,1750,1.1393e+006,843,267.76,1164,1115.3,339.11,2021,1.0518e+006,943
221.54,2748,2684.4,265.73,3147,1.4576e+006,543,425.47,1931.5,1924.6,555.44,2961,1.5166e+006,788
